"airline";"flight number";"origin airport";"destination airport";"origin city";"destination city";"origin country";"destination country";"STD";"STA";"UTC diff origin";"UTC diff destination";"days of operation";"AC type";"seat capacity"
"XY";546;"FCO";"SVO";"ROM";"MOW";"IT";"RU";"19:10";"01:00";120;240;"1234567";321;200
"XY";556;"FCO";"EVN";"ROM";"EVN";"IT";"AM";"22:15";"04:10";120;240;".2..5.7";"32S";168
"XY";1779;"FCO";"PMO";"ROM";"PMO";"IT";"IT";"11:10";"12:20";120;120;"..3....";320;167
"XY";2044;"FCO";"LIN";"ROM";"MIL";"IT";"IT";"15:00";"16:10";120;120;"......7";"E75";76
"XY";1797;"FCO";"PMO";"ROM";"PMO";"IT";"IT";"10:20";"11:30";120;120;"1234567";321;200
"XY";512;"FCO";"PRG";"ROM";"PRG";"IT";"CZ";"13:45";"15:35";120;120;"..3..6.";"32S";168
"XY";1789;"FCO";"PMO";"ROM";"PMO";"IT";"IT";"21:10";"22:20";120;120;"1234567";319;138
"XY";1785;"FCO";"PMO";"ROM";"PMO";"IT";"IT";"09:00";"10:10";120;120;"12.4567";321;200
"XY";720;"FCO";"ATH";"ROM";"ATH";"IT";"GR";"08:10";"11:05";120;180;"12345..";320;167
"XY";494;"FCO";"OTP";"ROM";"BUH";"IT";"RO";"08:25";"11:30";120;180;"......7";320;167
"XY";812;"FCO";"TLV";"ROM";"TLV";"IT";"IL";"14:45";"19:05";120;180;"1234567";321;200
"XY";330;"FCO";"CDG";"ROM";"PAR";"IT";"FR";"16:40";"18:50";120;120;"1234567";321;200
"XY";510;"FCO";"TIA";"ROM";"TIA";"IT";"AL";"21:20";"22:50";120;120;"1234.67";"32S";168
"XY";78;"FCO";"BCN";"ROM";"BCN";"IT";"ES";"21:10";"23:00";120;120;".2.....";321;200
"XY";824;"FCO";"BEY";"ROM";"BEY";"IT";"LB";"14:45";"19:05";120;180;"....5..";"32S";168
"XY";92;"FCO";"AGP";"ROM";"AGP";"IT";"ES";"21:30";"00:15";120;120;".2...6.";319;138
